Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity,Cell Cycle Phase
1,224,56,17.654193,14.844158,0.497218210,4.203413523,1
2,244,65,17.465325,14.696258,0.432747327,4.250198706,1
3,258,66,18.221014,13.966350,0.308387140,4.252024485,1
4,232,65,17.787353,15.744487,0.260110017,4.179403949,1
5,267,59,17.518741,15.527240,0.447303479,4.321702485,1
6,254,53,14.970959,11.332076,0.353242020,4.100944694,1
7,258,58,15.561851,16.186306,0.309757689,4.208788300,1
8,235,69,19.637273,15.893779,0.458487361,4.304493253,1
9,276,75,19.493521,15.895048,0.604925904,4.327484976,2
10,196,63,15.802251,16.075863,0.576403498,4.285740050,1
11,290,54,17.811945,13.007857,0.361471580,4.343876448,1
12,231,71,18.506475,14.558171,0.499599519,4.295501366,1
13,256,57,16.781193,14.213483,0.328526079,4.343795563,1
14,227,60,19.498605,13.987152,0.387697624,3.980632785,1
15,279,77,21.873098,18.390240,0.547968651,4.393977356,2
16,276,68,19.786710,15.383171,0.308796127,4.337440091,1
17,361,77,20.937196,19.529651,0.510523603,4.567097854,2
18,281,69,18.630259,16.373454,0.706565313,4.466128685,2
19,140,67,19.421928,15.778193,0.359508109,4.138440032,1
20,302,56,15.889799,14.401073,0.569796323,4.162000396,1
21,234,58,15.517421,15.307924,0.286942064,4.335075780,1
22,410,77,21.589765,18.648534,0.406640963,4.344121885,2
23,467,77,20.133893,19.784991,0.745048942,4.714696467,3
24,307,73,19.904536,14.727730,0.571496504,4.335079420,2
25,204,63,18.640784,12.803398,0.376499116,4.253949224,1
26,291,62,17.911704,13.435857,0.470363544,4.287208323,1
27,273,79,23.380107,16.731844,0.626980708,4.525629521,2
28,394,97,28.951429,18.589925,0.647443934,4.515675385,3
29,235,69,19.038755,16.674024,0.363585553,3.995545930,1
30,391,82,22.601577,19.593738,0.746832411,4.360701061,3
31,296,68,17.885647,17.279425,0.545026391,4.263113223,2
32,250,62,16.844926,15.560493,0.531657143,4.127353337,1
33,305,77,25.758622,13.806546,0.626481232,4.320188147,2
34,310,66,17.982854,18.137321,0.371363724,4.265566565,1
35,201,69,18.124966,14.604400,0.442274074,3.946346377,1
36,223,64,21.485811,13.590043,0.452178928,4.631442473,1
37,236,69,19.852330,17.308733,0.626267404,4.527747669,2
38,300,81,22.999431,20.184356,0.731222892,4.226028570,3
39,369,79,25.465751,17.442530,0.584023254,4.198773263,2
40,232,63,19.006395,15.812258,0.367397059,4.070247510,1
41,181,65,19.286818,11.762806,0.383339417,4.278484183,1
42,233,71,20.002568,14.441394,0.338115561,4.132328905,1
43,272,73,18.974796,19.662376,0.416442449,4.300645455,1
44,221,77,22.632343,17.109247,0.266057240,4.168019978,1
45,341,60,18.168261,13.216658,0.340299633,4.350755510,2
46,397,75,22.229748,16.241220,0.457465044,4.546086230,3
47,351,72,22.660671,16.313927,0.698418706,4.342272302,2
48,354,71,22.654933,14.734821,0.697195866,4.534983983,3
49,272,75,21.780788,19.175306,0.554208067,4.294007631,2
50,302,69,18.343992,16.412109,0.556730049,4.599808229,2
51,353,71,19.502808,17.604882,0.424667928,4.400554891,2
52,342,90,28.598574,19.107798,0.470699887,4.577400384,3
53,230,68,18.931530,15.546746,0.195693352,4.069418433,1
54,365,78,24.996621,19.304752,0.323890973,4.460032676,2
55,298,54,18.506699,13.402364,0.641089104,4.303716213,1
56,242,55,16.537720,15.155814,0.368828592,4.398554205,1
57,396,85,28.172633,16.876864,0.703171354,4.528280230,3
58,412,78,24.223216,16.689972,0.873821772,4.610826100,3
59,348,79,22.195966,20.169506,0.663887394,4.564321349,3
60,411,84,23.733248,19.422166,0.659846800,4.616142222,3
61,374,77,22.022512,16.695808,0.598518950,4.362171730,3
62,378,93,27.611232,21.846928,0.682664472,4.283277592,3
63,376,70,20.576583,17.799211,0.711564094,4.435680102,3
64,270,82,24.752036,16.360531,0.458707687,4.311523209,2
65,346,83,25.108249,19.364616,0.762402962,4.695957254,3
66,437,76,22.176437,17.565536,0.811569589,4.615132556,3
67,180,64,19.123320,14.117478,0.318372669,4.135742547,1
68,274,85,24.829755,18.478255,0.615702096,4.645169821,3
69,350,77,22.458962,19.312242,0.513231908,4.453432860,3
70,233,62,18.422253,15.051503,0.544833288,4.249648195,1
71,179,67,19.443700,15.739405,0.579589050,4.122830872,1
72,228,64,17.824778,15.014546,0.231400656,4.327248119,1
73,277,78,22.499149,14.553446,0.416024251,4.221271863,1
74,157,56,18.971536,12.940836,0.136027214,3.957291737,1
75,275,55,16.263279,14.681559,0.292013596,4.299423562,1
76,285,62,16.013789,13.929242,0.433501515,4.223212459,1
77,235,58,15.584331,14.215531,0.356993766,4.314255489,1
78,300,79,22.826175,15.807255,0.535014288,4.383498853,2
79,300,69,20.263322,15.031244,0.625465740,4.283606101,2
80,150,59,20.086374,13.135287,0.334492340,4.357615548,1
81,227,54,18.148512,13.602020,0.567722630,4.414841179,1
82,169,65,19.616464,13.175766,0.377249891,4.236841771,1
83,221,62,18.190442,13.912574,0.562159776,4.155609199,1
84,209,65,18.212647,14.764572,0.402128941,4.088208488,1
85,451,85,24.559241,19.371736,0.772187467,4.629918009,3
86,239,60,19.728015,15.096365,0.312868977,4.223100286,1
87,305,76,21.868082,18.453971,0.566640501,4.480658177,2
88,187,54,15.177241,13.642372,0.269723751,4.302382015,1
89,331,73,21.154206,18.166074,0.666621207,4.276106059,2
90,280,64,17.595245,17.612826,0.680767427,4.359164309,2
91,276,58,13.310075,15.248465,0.435761237,4.145788583,1
92,429,74,23.399338,18.061286,0.637317364,4.428303213,3
93,368,85,23.158800,17.797249,0.429623049,4.630509871,2
94,314,65,19.101137,15.300355,0.596040349,4.241308162,2
95,355,65,17.835670,19.608593,0.722337925,4.199178840,2
96,218,64,15.937714,14.630791,0.136069544,4.190268733,1
